Code;Calle;Entre Calle;Lineas;Latitud;Longitud
C3016;Petirossi 2051;Uritorco y Fuerza Aerea;60 Reg - B61 Reg -;-31,433515;-64,248004
C3018;Fuerza Aerea 4545;Aviador Kingsley y Aviador Abel;60 Reg - 65 Reg - 67 Reg -;-31,4327;-64,246695
C3020;Fuerza Aerea 4300;Aviador Richardson y Aviador Camilotti;60 Reg - 65 Reg - 67 Reg - B61 Reg -;-31,432581;-64,244249
C3022;Fuerza Aerea 4005;Fournier y Marie Courie;60 Reg - 65 Reg -;-31,432394;-64,241331
C3024;Fuerza Aerea 3755;Graham Bell y Varela Ortiz;60 Reg - 65 Reg -;-31,432178;-64,238021
C3026;Fuerza Aerea 3525;Felix Paz y Aaron Castellanos;60 Reg - 63 Reg - 65 Reg -;-31,431986;-64,235194
C3028;Fuerza Aerea 3039;Peteroa y Zapaceri;60 Reg - 65 Reg -;-31,431693;-64,230747
C3030;Fuerza Aerea 2831;Espora y Chazarreta;60 Reg - 65 Reg -;-31,431372;-64,226192
C3032;Fuerza Aerea 2693;Blamey Lafore y Padre Lozano;60 Reg - 65 Reg -;-31,431236;-64,224325
C3034;Fuerza Aerea 2433;Olegario Correa y Vieytes;60 Reg - 65 Reg -;-31,430938;-64,22035
C3036;Fuerza Aerea 2045;Sosneado y Tronador;60 Reg - 65 Reg -;-31,430769;-64,217373
C3038;Fuerza Aerea 1785;Mercedario y Lanin;60 Reg - 64 Reg - 65 Reg -;-31,430595;-64,214916
C3040;Fuerza Aerea 1611;Jupiter y Bandilla;60 Reg - 64 Reg - 65 Reg -;-31,429661;-64,211314
C3042;Rio Negro 1365;Luis Agote y Dellepiane;60 Reg - 64 Reg -;-31,427317;-64,210249
C3044;Rio Negro 1243;Brasil y Peru;60 Reg - 62 Reg - 64 Reg -;-31,425349;-64,209723
C3046;Rio Negro 1107;Domingo Funes y Angelo de Peredo;60 Reg - 62 Reg - 64 Reg -;-31,422497;-64,209064
